Sentence,Sentiment,Sentence_clear
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .,neutral,zao yit moskovia build house moscow surround city
"The value of the deal exceeds EUR500 ,000 , the company said .",neutral,value deal exceed eur500 000 company say
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",negative,period sale drop eur 306 million eur 383 million accord interim report release today
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in Sievi , in Finland .",neutral,scanfil systems supplier contract manufacturer communication sector give notice 20 productional employee temporarily lie 15 employee company plant sievi finland
"The repo rate will gradually reach 2 % at the end of 2010 , according to Nordea 's Economic Outlook .",neutral,repo rate gradually reach 2 end 2010 accord nordea economic outlook
Symphony Services provides development services for Aldata GOLD .,neutral,symphony service provide development service aldata gold
"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",neutral,license agreement nokia corp part expire april 9 2007
The divested stake represented about 2.7 m shares in Okmetic 's capital .,neutral,divest stake represent 27 share okmetic capital
"$AAPL bounce right now has no vol, more vol when it slid",positive,aapl bounce right vol vol slid
"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix .",neutral,los angelesbase pacific office property trust acquire own operate office property western us focus initially market honolulu san diego los angeles phoenix
"In Finland , the five largest brands control 90 % of the beer market .",neutral,finland five large brand control 90 beer market
"Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan .",positive,adanac molybdenum canada order grind technology molybdenum project british columbia canada shalkiya zinc kazakhstan award contract grind technology shalkiya zinclead project kazakhstan
"As part of the transaction , the +ä+ñnekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract .",neutral,part transaction äñnekoski paper mill remain mreal ownership continue galerie art production sappi longterm contract
Delivery is due in the second half of 2011 .,neutral,delivery due second half 2011
The agreement is valid for four years .,neutral,agreement valid four year
"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",neutral,finnish shipping company finnline grimaldi group report net sale decrease eur 2418 mn januaryjune 2009 eur 3840 mn correspond period 2008
"It also has strong assets in electronic media , employing 18,500 an increase of 9 percent on last year .",positive,also strong asset electronic medium employ 18500 increase 9 percent last year
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",negative,many commercial vessel get stick narrow bay bothnia ice thick around aaland island
"The venture , which will be 51 % owned by Kemira and 49 % by IVRCL , will operate an inorganic coagulant manufacturing facility , to be built in Vishakapatnam Vizag in the state of Andhra Pradesh and to kick off operations in the second half of 2011 .",neutral,venture 51 own kemira 49 ivrcl operate inorganic coagulant manufacturing facility build vishakapatnam vizag state andhra pradesh kick operation second half 2011
There did not seem to be enough hours in a day for Pekkarinen .,neutral,seem enough hour day pekkarinen
"Aug. 31 , 2009 (Gawker Media delivered by Newstex)-- If you love fishing video games but felt that there just was n't enough wackiness involved , then Activision 's (NASDAQ : ATVI) Rapala : We Fish might just catch your eye with its family-fun hook .",neutral,aug 31 2009 gawker medium deliver newstex love fishing video game feel not enough wackiness involve activision nasdaq atvi rapala fish might catch eye familyfun hook
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",neutral,cardona slow vehicle turn around return intersection call 911
"The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli , near Mumbai .",neutral,manufacture cpp undertake exist export orient unit eou wartsila factory khopoli near mumbai
I see a 20 percent upside in $FB shares from here,positive,see 20 percent upside fb share
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",neutral,januaryjune 2010 diluted loss per share stand eur0 3 versus eur0 1 first half 2009
Chime Communications Set To Be Acquired By WPP And Providence,positive,chime communication set acquire wpp providence
Dixons Carphone profit boost on strong sales,positive,dixon carphone profit boost strong sale
No other ev3 devices were involved in this action .,neutral,ev3 device involve action
`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy .,negative,capital expenditure energy efficiency unfortunately fall along decline economy
"Founded in 1994 , the company uses a six-step , time-focused , collaborative project approach to improve financial institutions ' revenue streams .",neutral,found 1994 company use sixstep timefocuse collaborative project approach improve financial institution revenue stream
"Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .",positive,agreement geosentric provide gypsiipowere hotel information reservation service visitor china include popular city beijing shanghai
Valga Lihatoostus markets its products under the Maks & Moorits trademark .,neutral,valga lihatoostus market product mak moorit trademark
Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .,positive,finnish consumer packaging manufacturer huhtamaki oyj say swung net profit 841 mln euro 1056 mln first nine month 2006 net loss 26 mln euro 33 mln period 2005
"Homebuilders - $RYL breaking below support, watch this one.  $SPY",negative,homebuilders ryl break support watch one spy
"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",positive,besides increase share meat various sausage offer number new taste grill product shish kebab segment paavel say
like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,positive,like breakout long well get 100 200 could see run
