sentence,sentiment,sentence_clear,sentence_pt
News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,neutral,News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,O site MySpace.com da News Corp. exibirá inscrições para o prêmio ampliado Broadband Emmy Awards como parte de um esforço para identificar artistas de vídeo promissores.
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",negative,"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??","Cobre, chumbo e níquel também caíram... As ações da HBOS (HBOS) despencaram 20%, para 70,3 pence, após a divulgação de que este ano..."
As a result some 20 persons will no longer be needed .,neutral,As a result some 20 persons will no longer be needed .,"Como resultado, cerca de 20 pessoas deixarão de ser necessárias."
$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,negative,BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,"Na verdade, a BBRY perdeu 0,03 centavos por ação se incluirmos a VZ, pois não tem dívidas e possui 3,1 em caixa."
Why $MCD looks set to fall further. http://stks.co/f2fgj,negative,Why MCD looks set to fall further. http://stks.co/f2fgj,Por que o McDonald's parece estar prestes a cair ainda mais. http://stks.co/f2fgj
Swiss franc surged to record 1.42 euros after it reported sharpest gain in manufacturing in March .,positive,Swiss franc surged to record 1.42 euros after it reported sharpest gain in manufacturing in March .,"O franco suíço disparou para um recorde de 1,42 euros após registrar o maior ganho no setor manufatureiro em março."
AstraZeneca's patent on asthma drug invalidated by US court,negative,AstraZeneca's patent on asthma drug invalidated by US court,A patente da AstraZeneca para um medicamento para asma foi invalidada por um tribunal dos EUA.
Finnish Bank of +àland +àlandsbanken has issued a profit warning .,neutral,Finnish Bank of +àland +àlandsbanken has issued a profit warning .,O Banco Finlandês de Land Banken emitiu um alerta de lucro.
"According to Tyrv+ñinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .",neutral,"According to Tyrv+ñinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .","Segundo a avaliação de Tyrvñinen, o Japão é uma localização essencial na estratégia asiática da Finnair."
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",neutral,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .","A taxa de ocupação de passageiros da Finnair, que mede o número de assentos vendidos em relação ao total de assentos disponíveis, caiu 1,3 ponto percentual, para 76,7%, em setembro."
"OVA Press has a 60 % stake in the joint venture , while IMSM holds a 40 % stake .",neutral,"OVA Press has a 60 % stake in the joint venture , while IMSM holds a 40 % stake .","A OVA Press detém uma participação de 60% na joint venture, enquanto a IMSM detém uma participação de 40%."
EPS dropped to EUR0 .2 from EUR0 .3 .,neutral,EPS dropped to EUR0 .2 from EUR0 .3 .,"O lucro por ação caiu de 0,3 euros para 0,2 euros."
It is a disappointment to see the plan folded .,negative,It is a disappointment to see the plan folded .,É uma decepção ver o plano fracassar.
Standard Life share price: Insurer buys advice firm Pearson Jones,positive,Standard Life share price: Insurer buys advice firm Pearson Jones,Cotação das ações da Standard Life: Seguradora adquire a empresa de consultoria Pearson Jones
Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,positive,Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,A Nokia e a Elisa trabalharão juntas para oferecer uma experiência superior de jogos para dispositivos móveis aos clientes da Elisa.
"For the fiscal year ending September 30 , 2009 the revenue from these customers was $ 10.012 million or around 11.0 % of the transportation group 's revenue .",neutral,"For the fiscal year ending September 30 , 2009 the revenue from these customers was  10.012 million or around 11.0 % of the transportation group 's revenue .","No ano fiscal encerrado em 30 de setembro de 2009, a receita proveniente desses clientes foi de 10,012 milhões, ou cerca de 11,0% da receita do grupo de transporte."
HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant .,positive,HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant .,"HELSINQUE AFX - A Outokumpu informou que sua unidade de tecnologia ganhou um contrato de 28 milhões de euros da Aluminij dd Mostar, da Bósnia-Herzegovina, para modernizar uma fábrica de ânodos."
Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,neutral,Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,Bertrand Sciard é vice-presidente do conselho de administração da Aldata Solution desde abril de 2007.
"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments .",neutral,"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments .","A British Biologicals, que não está listada na bolsa de valores, produz proteínas B e D, além de outros suplementos específicos para diversas doenças, como diabetes, hepatite, asma e outras doenças cardiovasculares."
TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .,positive,TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns (  23.54 - 15.19 euro ) .,"A TELE2 Affarsvarlden atribuiu uma recomendação de ""compra"" às ações da operadora de telefonia móvel Tele2 AB, com um preço-alvo de 142 coroas (23,54 - 15,19 euros)."
Amazon to attack UK grocery market with Morrisons deal,positive,Amazon to attack UK grocery market with Morrisons deal,Amazon pretende atacar o mercado de supermercados do Reino Unido com acordo com a Morrisons.
"Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units .",neutral,"Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units .","Após a transação, a Tulikivi reestruturou suas operações em unidades de negócio de Lareiras de Pedra-Sabão, Produtos de Pedra Natural e Produtos Cerâmicos."
Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .,positive,Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .,"O Sr. Kivimeister afirmou que a John Deere, antiga Timberjack, tem muito a ganhar nesta situação: controla cerca de 60% do mercado de máquinas florestais da Estónia."
$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,positive,SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,SPPI... construindo RS. Que ótimo. Quero que isso quebre um novo recorde de 52 semanas. O crescimento dos lucros justifica um aumento muito maior.
"We are glad that our long co-operation with SODRA continues '' , comments Stig-Goran Sandberg , Affecto 's Area Manager for Baltic operations .",positive,"We are glad that our long co-operation with SODRA continues '' , comments Stig-Goran Sandberg , Affecto 's Area Manager for Baltic operations .","Estamos satisfeitos por nossa longa cooperação com a SODRA continuar"", comenta Stig-Goran Sandberg, Gerente de Área da Affecto para operações no Báltico."
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .","No entanto, a Biohit estima que suas vendas líquidas totais continuarão a crescer em 2009 e que as tendências favoráveis ​​nas vendas líquidas levarão a um lucro em 2009."
$UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week,positive,UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week,UUP está enfrentando forte resistência neste momento. Pode subir muito mais se conseguir romper esse nível. Isso pode levar várias tentativas – de alguns dias a uma semana.
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",positive,"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .","Lucro líquido de 928.000 euros no primeiro trimestre de 2010 (6 de maio de 2010) - A empresa finlandesa de design têxtil e de vestuário Marimekko Oyj (HEL: MMO1V) anunciou hoje que seu lucro líquido subiu para 928.000 euros no primeiro trimestre de 2010, em comparação com 13.000 euros no mesmo período do ano anterior."
